,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
0,0,14102100,1005,0,1,0,17654,300,250,1994,2,39,-1,33,-1196157600199130096,-6006500867716285822,-4788160483375411076,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-650065215033061150,-215981981853060080
1,0,14102100,1005,0,1,0,16989,320,50,1926,2,39,-1,13,-1196157600199130096,8629950133425947508,111604357524640377,-2414393451864678829,-247353148104605489,-6327619399419000028,-4840563325561674567,-3518045965299665547,3596612451659697798,-3045051587222025656
2,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-2207341534450666290,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7067351311833544729,282281965402865420
3,0,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,-2207341534450666290,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5907353500166286839,3553263535699696302
4,1,14102100,1005,1,1,0,15708,320,50,1722,0,35,-1,79,-3865653150252404807,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,311825565909286162,-6351624509581666973
5,0,14102100,1005,0,1,0,20346,300,250,2331,2,39,-1,23,5363518457175120012,-6006500867716285822,-4788160483375411076,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-50810361016545847,3553263535699696302
6,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-7220892429318524736,8629950133425947508,111604357524640377,-2414393451864678829,1280967045915913952,8511753678100510838,4844916605846005300,-2663957300281587706,-8484808355297604272,-716259465276051290
7,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,-1,79,3071710707326452733,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-6416326532074977099,-5027562934616237773
8,0,14102100,1005,0,1,0,17163,320,50,1955,3,163,100193,71,2725562592351443492,-4369898478251877562,-5374425214460013001,6950720313526839352,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7711107651733911546,3604274954607461578
9,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,-1,79,2725562592351443492,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,480598155026036501,-2662986938824388571
10,0,14102100,1005,1,1,0,4687,320,50,423,2,39,100148,32,3183794870383263872,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-7235171965914383002,3604274954607461578
11,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,3183794870383263872,162892271779802913,-3786501668939633466,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-2879677197682639515,-6996653337281991972
12,0,14102100,1005,1,1,0,15703,320,50,1722,0,35,-1,79,3183794870383263872,-641975627517988525,-8200604644668854278,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-1110595668879026349,5824952318810980911
13,0,14102100,1002,0,0,0,21688,320,50,2496,3,167,100075,23,3183794870383263872,-2723484248850516364,7910755951892621350,-2414393451864678829,-3459646385640828756,8511753678100510838,-3690605714457023166,8320001088566736118,5255937941848702032,-2719546465143809045
14,0,14102100,1005,1,1,0,16208,320,50,1800,3,167,100074,23,7187891482830145387,-6886358236811293385,4240859188818571211,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4411929741337821090,2300328987730372231
15,0,14102100,1005,0,1,0,20153,320,50,2307,3,163,100020,61,-4970346066681310275,8629950133425947508,111604357524640377,-2414393451864678829,8354668138158216956,-904227634758625487,4844916605846005300,-3518045965299665547,5653723704717531413,7306932399002132778
16,0,14102100,1005,0,1,0,15703,320,50,1722,0,35,100084,79,-1436580865493601400,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2079738900934748134,1976546491231690435
